,Name,Nation,Team,Position,lowercase_name
0,Mohamed Salah,Egypt,Liverpool,RM,mohamed salah
1,Kylian Mbappé,France,Real Madrid,ST,kylian mbappe
2,Ousmane Dembélé,France,Paris SG,ST,ousmane dembele
3,Rodri,Spain,Manchester City,CDM,rodri
4,Virgil van Dijk,Holland,Liverpool,CB,virgil van dijk
5,Jude Bellingham,England,Real Madrid,CAM,jude bellingham
6,Erling Haaland,Norway,Manchester City,ST,erling haaland
7,Raphinha,Brazil,FC Barcelona,LM,raphinha
8,Achraf Hakimi,Morocco,Paris SG,RB,achraf hakimi
9,Lamine Yamal,Spain,FC Barcelona,RM,lamine yamal
10,Vitinha,Portugal,Paris SG,CM,vitinha
11,Gianluigi Donnarumma,Italy,Manchester City,GK,gianluigi donnarumma
12,Pedri,Spain,FC Barcelona,CM,pedri
13,Joshua Kimmich,Germany,FC Bayern München,CDM,joshua kimmich
14,Alisson,Brazil,Liverpool,GK,alisson
15,Harry Kane,England,FC Bayern München,ST,harry kane
16,Federico Valverde,Uruguay,Real Madrid,CM,federico valverde
17,Vini Jr.,Brazil,Real Madrid,LW,vini jr.
18,Florian Wirtz,Germany,Liverpool,CAM,florian wirtz
19,Thibaut Courtois,Belgium,Real Madrid,GK,thibaut courtois
20,Robert Lewandowski,Poland,FC Barcelona,ST,robert lewandowski
21,Lautaro Martínez,Argentina,Lombardia FC,ST,lautaro martinez
22,Alexander Isak,Sweden,Liverpool,ST,alexander isak
23,Jamal Musiala,Germany,FC Bayern München,CAM,jamal musiala
24,Gabriel,Brazil,Arsenal,CB,gabriel
25,Bukayo Saka,England,Arsenal,RW,bukayo saka
26,Jan Oblak,Slovenia,Atlético de Madrid,GK,jan oblak
27,Cole Palmer,England,Chelsea,CAM,cole palmer
28,Khvicha Kvaratskhelia,Georgia,Paris SG,LW,khvicha kvaratskhelia
29,Alessandro Bastoni,Italy,Lombardia FC,CB,alessandro bastoni
30,Serhou Guirassy,Guinea,Borussia Dortmund,ST,serhou guirassy
31,Kevin De Bruyne,Belgium,SSC Napoli,CM,kevin de bruyne
32,Frenkie de Jong,Holland,FC Barcelona,CM,frenkie de jong
33,Moisés Caicedo,Ecuador,Chelsea,CDM,moises caicedo
34,Declan Rice,England,Arsenal,CDM,declan rice
35,Marquinhos,Brazil,Paris SG,CB,marquinhos
36,Yann Sommer,Switzerland,Lombardia FC,GK,yann sommer
37,Jules Koundé,France,FC Barcelona,RB,jules kounde
38,Bruno Fernandes,Portugal,Man Utd,CAM,bruno fernandes
39,William Saliba,France,Arsenal,CB,william saliba
40,Julián Alvarez,Argentina,Atlético de Madrid,ST,julian alvarez
41,Jonathan Tah,Germany,FC Bayern München,CB,jonathan tah
42,Alexis Mac Allister,Argentina,Liverpool,CM,alexis mac allister
43,Mike Maignan,France,Milano FC,GK,mike maignan
44,Martin odegaard,Norway,Arsenal,CM,martin odegaard
45,David Raya,Spain,Arsenal,GK,david raya
46,Viktor Gyökeres,Sweden,Arsenal,ST,viktor gyokeres
47,Nicolò Barella,Italy,Lombardia FC,CM,nicolo barella
48,Victor Osimhen,Nigeria,Galatasaray,ST,victor osimhen
49,Nuno Mendes,Portugal,Paris SG,LB,nuno mendes
50,Antonio Rüdiger,Germany,Real Madrid,CB,antonio rudiger
51,Michael Olise,France,FC Bayern München,RM,michael olise
52,Trent Alexander-Arnold,England,Real Madrid,RB,trent alexander-arnold
53,Rúben Dias,Portugal,Manchester City,CB,ruben dias
54,Paulo Dybala,Argentina,AS Roma,CAM,paulo dybala
55,Bruno Guimarães,Brazil,Newcastle Utd,CM,bruno guimaraes
56,Willian Pacho,Ecuador,Paris SG,CB,willian pacho
57,Ibrahima Konaté,France,Liverpool,CB,ibrahima konate
58,Hakan Çalhanoğlu,Turkey,Lombardia FC,CDM,hakan calhanoglu
59,Lionel Messi,Argentina,Inter Miami CF,RW,lionel messi
60,Sandro Tonali,Italy,Newcastle Utd,CDM,sandro tonali
61,Nico Williams,Spain,Athletic Club,LM,nico williams
62,Tijjani Reijnders,Holland,Manchester City,CM,tijjani reijnders
63,Marc-André ter Stegen,Germany,FC Barcelona,GK,marc-andre ter stegen
64,Gregor Kobel,Switzerland,Borussia Dortmund,GK,gregor kobel
65,Ederson,Brazil,Fenerbahçe,GK,ederson
66,Federico Dimarco,Italy,Lombardia FC,LB,federico dimarco
67,Scott McTominay,Scotland,SSC Napoli,CM,scott mctominay
68,Ryan Gravenberch,Holland,Liverpool,CDM,ryan gravenberch
69,Emiliano Martínez,Argentina,Aston Villa,GK,emiliano martinez
70,João Neves,Portugal,Paris SG,CM,joao neves
71,Antoine Griezmann,France,Atlético de Madrid,ST,antoine griezmann
72,Bryan Mbeumo,Cameroon,Man Utd,RW,bryan mbeumo
73,N'Golo Kanté,France,Al Ittihad,CDM,n'golo kante
74,Désiré Doué,France,Paris SG,RW,desire doue
75,Carvajal,Spain,Real Madrid,RB,carvajal
76,Unai Simón,Spain,Athletic Club,GK,unai simon
77,Marcus Thuram,France,Lombardia FC,ST,marcus thuram
78,Péter Gulácsi,Hungary,RB Leipzig,GK,peter gulacsi
79,Luis Díaz,Colombia,FC Bayern München,LM,luis diaz
80,De Gea,Spain,Fiorentina,GK,de gea
81,Nico Schlotterbeck,Germany,Borussia Dortmund,CB,nico schlotterbeck
82,Heung Min Son,Korea Republic,LAFC,LW,heung min son
83,Phil Foden,England,Manchester City,RW,phil foden
84,Fabián Ruiz,Spain,Paris SG,CM,fabian ruiz
85,Youri Tielemans,Belgium,Aston Villa,CM,youri tielemans
86,Granit Xhaka,Switzerland,Sunderland,CDM,granit xhaka
87,Karim Benzema,France,Al Ittihad,ST,karim benzema
88,Iñigo Martínez,Spain,Al Nassr,CB,inigo martinez
89,Cristiano Ronaldo,Portugal,Al Nassr,ST,cristiano ronaldo
90,Rodrygo,Brazil,Real Madrid,RW,rodrygo
91,Dani Olmo,Spain,FC Barcelona,CAM,dani olmo
92,Dayot Upamecano,France,FC Bayern München,CB,dayot upamecano
93,Patrik Schick,Czech Republic,Leverkusen,ST,patrik schick
94,Bremer,Brazil,Juventus,CB,bremer
95,Theo Hernández,France,Al Hilal,LB,theo hernandez
96,Marcos Llorente,Spain,Atlético de Madrid,RB,marcos llorente
97,Rodrigo De Paul,Argentina,Inter Miami CF,CM,rodrigo de paul
98,João Cancelo,Portugal,Al Hilal,RB,joao cancelo
99,Sancet,Spain,Athletic Club,CAM,sancet
100,Karim Adeyemi,Germany,Borussia Dortmund,RM,karim adeyemi
101,Gabriel Silva,Brazil,Santa Clara,LW,gabriel silva
102,Sirlord Conteh,Germany,Heidenheim,ST,sirlord conteh
103,Alexia Putellas,Spain,FC Barcelona,CM,alexia putellas
104,Aitana Bonmatí,Spain,FC Barcelona,CM,aitana bonmati
105,Debinha,Brazil,KC Current,CAM,debinha
106,Mapi León,Spain,FC Barcelona,CB,mapi leon
107,Joelinton,Brazil,Newcastle Utd,CM,joelinton
108,Barış Alper Yılmaz,Turkey,Galatasaray,LM,bars alper ylmaz
109,Gabriela García,Venezuela,Atlético de Madrid,CDM,gabriela garcia
110,Alexandra Popp,Germany,VfL Wolfsburg,ST,alexandra popp
111,Alphonso Davies,Canada,FC Bayern München,LB,alphonso davies
112,Jordan Pickford,England,Everton,GK,jordan pickford
113,Denzel Dumfries,Holland,Lombardia FC,RB,denzel dumfries
114,Sergej Milinković-Savić,Serbia,Al Hilal,CM,sergej milinkovic-savic
115,Joško Gvardiol,Croatia,Manchester City,LB,josko gvardiol
116,Aurélien Tchouaméni,France,Real Madrid,CDM,aurelien tchouameni
117,Marc Cucurella,Spain,Chelsea,LB,marc cucurella
118,Grimaldo,Spain,Leverkusen,LM,grimaldo
119,Benjamin Pavard,France,OM,CB,benjamin pavard
120,Enzo Fernández,Argentina,Chelsea,CM,enzo fernandez
121,Wojciech Szczęsny,Poland,FC Barcelona,GK,wojciech szczesny
122,Álex Baena,Spain,Atlético de Madrid,LM,alex baena
123,Mattia Zaccagni,Italy,Latium,LM,mattia zaccagni
124,Giorgi Mamardashvili,Georgia,Liverpool,GK,giorgi mamardashvili
125,Exequiel Palacios,Argentina,Leverkusen,CM,exequiel palacios
126,Xavi Simons,Holland,Spurs,CAM,xavi simons
127,Manuel Neuer,Germany,FC Bayern München,GK,manuel neuer
128,Rúben Neves,Portugal,Al Hilal,CDM,ruben neves
129,Cody Gakpo,Holland,Liverpool,LM,cody gakpo
130,Bernardo Silva,Portugal,Manchester City,CM,bernardo silva
131,Manuel Locatelli,Italy,Juventus,CDM,manuel locatelli
132,Christian Pulisic,United States,Milano FC,RW,christian pulisic
133,Diogo Costa,Portugal,FC Porto,GK,diogo costa
134,Ollie Watkins,England,Aston Villa,ST,ollie watkins
135,James Maddison,England,Spurs,CM,james maddison
136,Marco Carnesecchi,Italy,Bergamo Calcio,GK,marco carnesecchi
137,Omar Marmoush,Egypt,Manchester City,ST,omar marmoush
138,Rafael Leão,Portugal,Milano FC,LW,rafael leao
139,Éder Militão,Brazil,Real Madrid,CB,eder militao
140,Romelu Lukaku,Belgium,SSC Napoli,ST,romelu lukaku
141,Isco,Spain,Real Betis,CAM,isco
142,Bradley Barcola,France,Paris SG,LW,bradley barcola
143,Moussa Diaby,France,Al Ittihad,RM,moussa diaby
144,Vivian,Spain,Athletic Club,CB,vivian
145,Ademola Lookman,Nigeria,Bergamo Calcio,ST,ademola lookman
146,Riyad Mahrez,Algeria,Al Ahli,RM,riyad mahrez
147,Alexander Sorloth,Norway,Atlético de Madrid,ST,alexander sorloth
148,Francesco Acerbi,Italy,Lombardia FC,CB,francesco acerbi
149,Stefan de Vrij,Holland,Lombardia FC,CB,stefan de vrij
150,Willi Orban,Hungary,RB Leipzig,CB,willi orban
151,Adrien Rabiot,France,Milano FC,CAM,adrien rabiot
152,Eduardo Camavinga,France,Real Madrid,CM,eduardo camavinga
153,Dominik Szoboszlai,Hungary,Liverpool,CAM,dominik szoboszlai
154,Henrikh Mkhitaryan,Armenia,Lombardia FC,CM,henrikh mkhitaryan
155,Lucas Torreira,Uruguay,Galatasaray,CDM,lucas torreira
156,Giovanni Di Lorenzo,Italy,SSC Napoli,RB,giovanni di lorenzo
157,Morten Hjulmand,Denmark,Sporting CP,CDM,morten hjulmand
158,Dejan Kulusevski,Sweden,Spurs,CM,dejan kulusevski
159,Mikel Merino,Spain,Arsenal,CM,mikel merino
160,Ayoze,Spain,Villarreal CF,ST,ayoze
161,Iñaki Williams,Ghana,Athletic Club,RM,inaki williams
162,Pedro Gonçalves,Portugal,Sporting CP,CAM,pedro goncalves
163,Joan García,Spain,FC Barcelona,GK,joan garcia
164,Álex Remiro,Spain,Real Sociedad,GK,alex remiro
165,Dávid Hancko,Slovakia,Atlético de Madrid,CB,david hancko
166,Anthony Gordon,England,Newcastle Utd,LW,anthony gordon
167,Lucas Chevalier,France,Paris SG,GK,lucas chevalier
168,Mateo Kovačić,Croatia,Manchester City,CM,mateo kovacic
169,Aleix García,Spain,Leverkusen,CM,aleix garcia
170,Thomas Partey,Ghana,Villarreal CF,CDM,thomas partey
171,Stanislav Lobotka,Slovakia,SSC Napoli,CM,stanislav lobotka
172,Jeremie Frimpong,Holland,Liverpool,RB,jeremie frimpong
173,Luka Modrić,Croatia,Milano FC,CM,luka modric
174,Sadio Mané,Senegal,Al Nassr,LM,sadio mane
175,Oliver Baumann,Germany,TSG Hoffenheim,GK,oliver baumann
176,Matheus Cunha,Brazil,Man Utd,CAM,matheus cunha
177,Zubimendi,Spain,Arsenal,CDM,zubimendi
178,Matz Sels,Belgium,Nott'm Forest,GK,matz sels
179,Gavi,Spain,FC Barcelona,CM,gavi
180,Eberechi Eze,England,Arsenal,CAM,eberechi eze
181,Balde,Spain,FC Barcelona,LB,balde
182,İlkay Gündoğan,Germany,Galatasaray,CM,ilkay gundogan
183,Loïs Openda,Belgium,Juventus,ST,lois openda
184,Palhinha,Portugal,Spurs,CDM,palhinha
185,Julian Brandt,Germany,Borussia Dortmund,CAM,julian brandt
186,Jarrod Bowen,England,West Ham,RM,jarrod bowen
187,Murillo,Brazil,Nott'm Forest,CB,murillo
188,Boubacar Kamara,France,Aston Villa,CDM,boubacar kamara
189,Nathan Aké,Holland,Manchester City,CB,nathan ake
190,Ferran Torres,Spain,FC Barcelona,LW,ferran torres
191,Angelo Stiller,Germany,VfB Stuttgart,CDM,angelo stiller
192,Piero Hincapié,Ecuador,Arsenal,CB,piero hincapie
193,Artem Dovbyk,Ukraine,AS Roma,ST,artem dovbyk
194,Hugo Ekitiké,France,Liverpool,ST,hugo ekitike
195,Iago Aspas,Spain,Celta,RW,iago aspas
196,Moise Kean,Italy,Fiorentina,ST,moise kean
197,Ronald Araujo,Uruguay,FC Barcelona,CB,ronald araujo
198,Kingsley Coman,France,Al Nassr,LM,kingsley coman
199,Leandro Trossard,Belgium,Arsenal,LW,leandro trossard
